":@computed_region_c9xn_skx3",":@computed_region_cfa7_hbpz",":@computed_region_f73m_vb2k",":@computed_region_gisn_y5cm",":@computed_region_sjpq_96s8",":@computed_region_v3ji_vzam","city","mapped_location","mapped_location_address","mapped_location_city","mapped_location_state","mapped_location_zip","state","station_number","street_address","zip_code"
"28",,"3","7","15803","2005","Nashville","POINT (-86.716832 36.068801)","377 Haywood Lane","Nashville","TN","37211","TN","Station 6","377 Haywood Lane","37211"
"8","1026","2","2","16164","2005","Nashville","POINT (-86.725628 36.224081)","4201 Gallatin Road","Nashville","TN","37216","TN","Station 29","4201 Gallatin Road","37216"
"23",,"6","5","15809","2005","Nashville","POINT (-86.82559 36.0911)","1626 Harding Place","Nashville","TN","37215","TN","Station 20","1626 Harding Place","37215"
"6","29","7","2","15550","2005","Nashville","POINT (-86.768085 36.186602)","840 Meridian Avenue","Nashville","TN","37207","TN","Station 3","840 Meridian Avenue","37207"
"17","615","4","3","18487","2005","Old Hickory","POINT (-86.648087 36.264093)","1000 Donelson Street","Old Hickory","TN","37138","TN","Station 36","1000 Donelson Street","37138"
"11",,"7","7","15800","2005","Nashville","POINT (-86.742942 36.141361)","101 Polk Avenue","Nashville","TN","37210","TN","Station 12","101 Polk Avenue","37210"
"21","11","9","7","15800","2005","Nashville","POINT (-86.747067 36.116466)","320 Joyner Avenue","Nashville","TN","37211","TN","Station 21","320 Joyner Avenue","37211"
"13",,"7","1","15800","2005","Nashville","POINT (-86.77111 36.155603)","601 2nd Avenue South","Nashville","TN","37210","TN","Station 9","601 2nd Avenue South","37210"
"2","67","1","6","16168","2005","Nashville","POINT (-86.840622 36.203627)","3851 Clarksville Highway","Nashville","TN","37218","TN","Station 24","3851 Clarksville Highway","37218"
"19","118","4","3","28805","2005","Hermitage","POINT (-86.621467 36.20044)","4031 Plantation Drive","Hermitage","TN","37076","TN","Station 32","4031 Plantation Drive","37076"
"22",,"5","8","15798","2005","Nashville","POINT (-86.840928 36.153027)","410 45th Avenue North","Nashville","TN","37209","TN","Station 13","410 45th Avenue North","37209"
"32",,"5","8","30816","2005","Nashville","POINT (-86.886904 36.117532)","638 Davidson Road","Nashville","TN","37205","TN","Station 7","638 Davidson Road","37205"
"14",,"1","8","15798","2005","Nashville","POINT (-86.861548 36.168963)","6215 Centennial Blvd.","Nashville","TN","37209","TN","Station 23","6215 Centennial Blvd.","37209"
"7","14","7","2","15548","2005","Nashville","POINT (-86.74195 36.17547)","1600 Holly Street","Nashville","TN","37206","TN","Station 14","1600 Holly Street","37206"
"25",,"3","5","15803","2005","Nashville","POINT (-86.740496 36.039834)","15530 Old Hickory Blvd.","Nashville","TN","37211","TN","Station 10","15530 Old Hickory Blvd.","37211"
"11",,"6","5","30813","2005","Nashville","POINT (-86.78875 36.133044)","2010 12th Avenue South","Nashville","TN","37212","TN","Station 8","2010 12th Avenue South","37212"
"9",,"2","4","13132","2005","Goodlettsville","POINT (-86.738286 36.290544)","1247 South Dickerson Road","Goodlettsville","TN","37072","TN","Station 39","1247 South Dickerson Road","37072"
"18",,"9","3","16166","2005","Nashville","POINT (-86.697595 36.12441)","1320 Vultee Boulevard","Nashville","TN","37217","TN","Station 15","1320 Vultee Boulevard","37217"
,,,,"13132","2115","Goodlettsville","POINT (-86.663892 36.363516)","105 Long Hollow Pk","Goodlettsville","TN","37072","TN","Station 41","105 Long Hollow Pk","37072"
"22",,"5","8","30816","2005","Nashville","POINT (-86.835975 36.13091)","3911 West End Avenue","Nashville","TN","37205","TN","Station 17","3911 West End Avenue","37205"
,,,,,,"Nashville",,,,,,"TN","Station 34","8350 Highway 70 South","37221"
"11",,"7","5","30406","2005","Nashville","POINT (-86.778836 36.143377)","1101 8th Ave S","Nashville","TN","37203","TN","Station 5","1101 8th Ave S","37203"
"13",,"7","1","30396","2005","Nashville","POINT (-86.779821 36.169465)","500 Second Avenue N","Nashville","TN","37201","TN","Station 2","500 Second Avenue N","37201"
"27",,"8","7","24062","2005","Antioch","POINT (-86.630885 36.067646)","2501 Forest View Drive","Antioch","TN","37013","TN","Station 33","2501 Forest View Drive","37013"
"2",,"1","6","15550","2005","Nashville","POINT (-86.801616 36.215851)","2589 Whites Creek Pike","Nashville","TN","37207","TN","Station 25","2589 Whites Creek Pike","37207"
"3",,"2","4","1527","2005","Madison","POINT (-86.716084 36.259135)","415 Douglas Avenue","Madison","TN","37115","TN","Station 31","415 Douglas Avenue","37115"
"3","1025","2","2","15550","2005","Nashville","POINT (-86.757426 36.229579)","130 Broadmoor Avenue","Nashville","TN","37207","TN","Station 1","130 Broadmoor Avenue","37207"
"15",,"7","6","15798","2005","Nashville","POINT (-86.815554 36.155737)","520 26th Avenue North","Nashville","TN","37203","TN","Station 19","520 26th Avenue North","37203"
"1","650","1","6","28815","2005","Joelton","POINT (-86.876877 36.316384)","3705 Old Clarksville Pike","Joelton","TN","37080","TN","Station 30","3705 Old Clarksville Pike","37080"
"30","880","8","7","24062","2005","Antioch","POINT (-86.672225 36.040221)","5410 Hickory Park Drive","Antioch","TN","37013","TN","Station 26","5410 Hickory Park Drive","37013"
"8","58","7","2","15548","2005","Nashville","POINT (-86.737514 36.196194)","1151 East Cahal Avenue","Nashville","TN","37206","TN","Station 18","1151 East Cahal Avenue","37206"
"31",,"5","8","16173","2005","Nashville","POINT (-86.934168 36.071236)","646 Colice Jean Road","Nashville","TN","37221","TN","Station 37","646 Colice Jean Road","37221"
"24",,"3","5","16171","2005","Nashville","POINT (-86.758748 36.078268)","4720 Trousdale Drive","Nashville","TN","37204","TN","Station 27","4720 Trousdale Drive","37204"
"33",,"8","7","24062","2005","Antioch","POINT (-86.599401 36.052278)","2034 Hobson Pike","Antioch","TN","37013","TN","Station 35","2034 Hobson Pike","37013"
"12",,"6","5","15804","2005","Nashville","POINT (-86.802472 36.129492)","2219 21st Avenue South","Nashville","TN","37212","TN","Station 16","2219 21st Avenue South","37212"
"15",,"1","6",,"2005","Nashville","POINT (-86.810689 36.179242)","1745 18th Avenue North","Nashville","TN","37208","TN","Station 11","1745 18th Avenue North","37208"
"4",,"2","4","1527","2005","Madison","POINT (-86.684711 36.260552)","201 Larkin Springs Road","Madison","TN","37115","TN","Station 38","201 Larkin Springs Road","37115"
"20",,"4","3","15807","2005","Nashville","POINT (-86.682708 36.16903)","2394 Lebanon Road","Nashville","TN","37214","TN","Station 28","2394 Lebanon Road","37214"
"18",,"9","7","15803","2005","Nashville","POINT (-86.687447 36.090319)","5111 Harding Place","Nashville","TN","37211","TN","Station 4","5111 Harding Place","37211"
"20",,"4","3","15807","2005","Nashville","POINT (-86.688883 36.216662)","2781 Pennington Bend","Nashville","TN","37214","TN","Station 22","2781 Pennington Bend","37214"
